key,role,category,abilities,wins,matches
266,4,skillOrder,QEW,1272257,2528451
266,4,skillOrder,QWE,54146,124856
266,4,skillOrder,EQW,501,1360
266,4,skillOrder,WQE,126,329
266,4,skillOrder,EWQ,32,96
266,4,skillOrder,WEQ,13,52
266,4,skillLevel1,Q,1330719,2686650
266,4,skillLevel1,W,2668,5187
266,4,skillLevel1,E,3702,7924
266,4,skillLevel1,R,0,0
266,4,skillLevel2,Q,6267,12880
266,4,skillLevel2,W,95228,204025
266,4,skillLevel2,E,1235591,2482850
266,4,skillLevel2,R,3,6
266,4,skillLevel3,Q,25941,52320
266,4,skillLevel3,W,1213752,2439637
266,4,skillLevel3,E,97395,207797
266,4,skillLevel3,R,1,7
266,4,skillLevel4,Q,1303422,2630029
266,4,skillLevel4,W,29393,59757
266,4,skillLevel4,E,4258,9934
266,4,skillLevel4,R,16,41
266,4,skillLevel5,Q,1331243,2686043
266,4,skillLevel5,W,2583,6042
266,4,skillLevel5,E,2749,6620
266,4,skillLevel5,R,514,1056
266,4,skillLevel6,Q,737,1593
266,4,skillLevel6,W,256,631
266,4,skillLevel6,E,1804,3845
266,4,skillLevel6,R,1334292,2693692
266,4,skill6,QEWQQR,1198770,2406583
266,4,skill6,QWEQQR,91332,194639
266,4,skill6,QEQWQR,23777,47255
266,4,skill6,EQWQQR,3455,7338
266,4,skill6,QEWWQR,3251,7113
266,4,skill6,WQEQQR,2515,4834
266,4,skill6,QEWQER,1993,4612
266,4,skill6,QEWQWR,1625,3678
266,4,skill6,QWQEQR,1436,3390
266,4,skill6,QEEWQR,1576,3381
266,4,skill6,QEWQQE,1569,3290
266,4,skill6,QEWEQR,1410,3142
266,4,skill6,QWWEQR,564,1243
266,4,skill6,QWEQWR,471,1199
266,4,skill6,QWEQER,407,960
266,4,skill6,QEWQRQ,420,853
266,4,skill6,QWEEQR,266,669
266,4,skill6,QWEWQR,242,647
266,4,skill6,QEWQQW,193,464
266,4,skill6,QEWEER,139,396
266,4,skill6,QWEQQE,153,364
266,4,skill6,QEQEWR,163,351
266,4,skill6,EQQWQR,132,265
266,4,skill6,QEEQWR,115,253
266,4,skill10,QEWQQRQEQE,1129355,2233628
266,4,skill10,QWEQQRQEQE,70599,143732
266,4,skill10,QEQWQRQEQE,22497,43968
266,4,skill10,QEWQQRQWQW,14946,34750
