key,role,category,item_id,time,wins,matches
266,4,startItem,2003,,562554,1125109
266,4,startItem,1054,,369563,738092
266,4,startItem,3340,,295046,590210
266,4,startItem,1055,,197091,394972
266,4,startItem,3364,,6099,12342
266,4,startItem,1036,,4840,9458
266,4,startItem,2031,,2622,5296
266,4,startItem,1083,,995,1930
266,4,startItem,1001,,165,318
266,4,startItem,2033,,111,286
266,4,startItem,1029,,124,254
266,4,startSet,1054_2003,,365560,730974
266,4,startSet,1055_2003,,190681,382739
266,4,startSet,1054,,5099,10164
266,4,startSet,1055,,5087,10118
266,4,startSet,1036_2031,,2310,4683
266,4,startSet,1036_2003_2003_2003,,1129,2416
266,4,startSet,1083_2003,,838,1651
266,4,startSet,,,285,717
266,4,startSet,1036,,168,385
266,4,startSet,2033,,103,271
266,4,earlyItem,1036,,810892,1663709
266,4,earlyItem,3134,,390105,754118
266,4,earlyItem,2003,,320162,666449
266,4,earlyItem,1001,,318257,635371
266,4,earlyItem,2055,,278627,547293
266,4,earlyItem,2031,,190301,382823
266,4,earlyItem,1053,,188752,363684
266,4,earlyItem,3047,,110239,210500
266,4,earlyItem,1029,,76938,159258
266,4,earlyItem,6029,,45443,90004
266,4,earlyItem,3133,,42966,85847
266,4,earlyItem,6692,,43514,64170
266,4,earlyItem,3067,,22819,46053
266,4,earlyItem,1028,,19737,41762
266,4,earlyItem,3111,,21630,40309
266,4,earlyItem,1037,,16054,33516
266,4,earlyItem,1033,,15004,30027
266,4,earlyItem,3123,,11942,24412
266,4,earlyItem,3364,,12411,24085
266,4,earlyItem,3158,,10874,18954
266,4,earlyItem,3340,,6266,13067
266,4,earlyItem,1054,,6110,12998
266,4,earlyItem,3076,,6408,12852
266,4,earlyItem,1055,,4739,10243
266,4,earlyItem,3155,,5573,10097
266,4,earlyItem,1083,,3728,7471
266,4,earlyItem,6630,,3866,5712
266,4,earlyItem,3057,,2010,3881
266,4,earlyItem,3363,,986,1437
266,4,earlyItem,3071,,867,1325
266,4,earlyItem,1042,,410,1015
266,4,earlyItem,3082,,371,713
266,4,earlyItem,3009,,295,551
266,4,earlyItem,3051,,206,436
266,4,earlyItem,3044,,219,417
266,4,earlyItem,3035,,214,407
266,4,earlyItem,6632,,222,326
266,4,earlyItem,3140,,153,323
266,4,earlyItem,3156,,230,319
266,4,earlyItem,6660,,147,316
266,4,boots,3047,13.0,366831,740325
266,4,boots,3111,15.0,142253,272829
266,4,boots,3158,13.0,46068,81797
266,4,boots,1001,8.0,11882,35154
266,4,boots,9999,0.0,2891,11099
266,4,boots,3009,15.0,1157,2192
266,4,boots,3006,16.0,496,1031
266,4,boots,3117,17.0,99,594
266,4,boots,2422,0.0,113,329
266,4,item,1036,14.0,2076101,4425711
266,4,item,2003,3.0,965362,1971736
266,4,item,3133,20.0,829754,1606804
266,4,item,2055,13.0,689119,1327270
266,4,item,6692,14.0,476509,932868
266,4,item,3134,8.0,462659,921815
266,4,item,1001,8.0,420096,865463
266,4,item,1054,0.0,376216,752583
266,4,item,3047,13.0,368431,744004
266,4,item,1053,10.0,331124,701237
266,4,item,3067,19.0,339473,696212
266,4,item,1029,17.0,319664,693715
266,4,item,3340,1.0,304986,610828
266,4,item,3071,22.0,324154,584905
266,4,item,1031,23.0,219637,438223
266,4,item,1028,19.0,194977,433283
266,4,item,2031,6.0,213934,432016
266,4,item,6333,25.0,242091,425169
266,4,item,1055,0.0,202239,406511
266,4,item,1037,21.0,200277,388812
266,4,item,3111,15.0,146320,281330
266,4,item,3364,17.0,146630,272749
266,4,item,3035,24.0,152669,262814
266,4,item,6694,26.0,157126,254208
266,4,item,1033,19.0,107317,228334
266,4,item,3155,23.0,91904,170603
266,4,item,6630,15.0,81234,169166
266,4,item,6029,9.0,66221,140508
266,4,item,3156,26.0,73351,128573
266,4,item,3363,18.0,59947,116086
266,4,item,3158,13.0,46279,82273
266,4,item,3076,23.0,38048,80729
266,4,item,3123,17.0,35889,78480
266,4,item,3211,28.0,34701,65996
266,4,item,2420,30.0,33597,56136
266,4,item,3065,30.0,28065,50349
266,4,item,2140,35.0,27930,49260
266,4,item,3044,26.0,24637,44681
266,4,item,3075,30.0,18247,35077
266,4,item,1011,28.0,15159,33163
266,4,item,6609,26.0,16486,31194
266,4,item,3026,34.0,18078,28623
266,4,item,3053,29.0,15767,27072
266,4,item,2138,36.0,11469,21041
266,4,item,1038,30.0,12515,19469
266,4,item,3082,26.0,7651,15623
266,4,item,6632,17.0,6007,11950
266,4,item,1083,5.0,4996,10524
266,4,item,3057,13.0,4448,9706
266,4,item,3143,30.0,4839,9059
266,4,item,1057,27.0,2942,5840
266,4,item,3077,23.0,3265,5598
266,4,item,3074,26.0,3366,5518
266,4,item,3066,27.0,2269,4688
266,4,item,1042,17.0,1522,4270
266,4,item,3140,23.0,1868,3735
266,4,item,4401,30.0,1931,3509
266,4,item,3181,22.0,1710,2972
266,4,item,1018,22.0,1202,2621
266,4,item,3142,22.0,1692,2454
266,4,item,3009,15.0,1225,2392
266,4,item,6676,23.0,1133,1829
266,4,item,6695,25.0,768,1422
266,4,item,1043,21.0,614,1363
266,4,item,3105,28.0,650,1317
266,4,item,3051,15.0,591,1314
266,4,item,8001,30.0,626,1258
266,4,item,6035,30.0,708,1240
266,4,item,3153,23.0,597,1225
266,4,item,3006,16.0,539,1154
266,4,item,1006,21.0,174,1148
266,4,item,3117,17.0,168,1134
