key,role,objective,secured,wins,matches
266,4,blue,True,68818128,1346998
266,4,blue,False,63938178,1337339
266,4,rift1,True,84959254,1414573
266,4,rift1,False,46745766,1251225
266,4,rift2,True,72303865,1089570
266,4,rift2,False,30418728,998973
266,4,riftDouble,True,49586253,704951
266,4,riftDouble,False,15399608,594350
266,4,eliteDouble,True,55403869,731984
266,4,eliteDouble,False,13779500,635000
266,4,dragon1,True,89024634,1352136
266,4,dragon1,False,42972238,1318976
266,4,baron1,True,72271865,889938
266,4,baron1,False,14368127,894653
266,4,blood1,True,78323588,1336580
266,4,blood1,False,53932677,1337616
266,4,tower1,True,99743607,1423079
266,4,tower1,False,32481018,1251677
266,4,inhibitor1,True,103884021,1139454
266,4,inhibitor1,False,8973301,1154865
266,4,dragonSoul,True,30425338,340214
266,4,dragonSoul,False,2364347,305077
266,4,airSoul,True,6220882,68648
266,4,airSoul,False,390991,62359
266,4,waterSoul,True,5949909,67360
266,4,waterSoul,False,518685,60033
266,4,fireSoul,True,5953528,66505
266,4,fireSoul,False,465148,59104
266,4,earthSoul,True,6172095,69070
266,4,earthSoul,False,483239,62113
266,4,hextechSoul,True,6128748,68631
266,4,hextechSoul,False,506496,61468
266,1,blue,True,630158,13711
266,1,blue,False,566646,13434
266,1,rift1,True,699945,12428
266,1,rift1,False,484387,14455
266,1,rift2,True,574408,9223
266,1,rift2,False,308524,11094
266,1,riftDouble,True,363283,5440
266,1,riftDouble,False,170694,7157
266,1,eliteDouble,True,441725,5962
266,1,eliteDouble,False,156662,8168
266,1,dragon1,True,776641,12246
266,1,dragon1,False,412720,14698
266,1,baron1,True,564814,7136
266,1,baron1,False,158733,9626
266,1,blood1,True,687352,12807
266,1,blood1,False,504879,14238
266,1,tower1,True,871249,13143
266,1,tower1,False,321646,13894
266,1,inhibitor1,True,929430,10489
266,1,inhibitor1,False,96865,12779
266,1,dragonSoul,True,248290,2797
266,1,dragonSoul,False,25796,3558
266,1,airSoul,True,49197,542
266,1,airSoul,False,3497,718
266,1,waterSoul,True,49901,569
266,1,waterSoul,False,5103,701
266,1,fireSoul,True,49501,548
266,1,fireSoul,False,5201,687
266,1,earthSoul,True,53501,609
266,1,earthSoul,False,6602,720
266,1,hextechSoul,True,46198,529
266,1,hextechSoul,False,5402,732
266,5,blue,True,3112110,57250
266,5,blue,False,2904195,57543
266,5,rift1,True,3899108,61989
266,5,rift1,False,2063457,51937
266,5,rift2,True,3293299,47653
266,5,rift2,False,1313715,40622
266,5,riftDouble,True,2281498,31495
266,5,riftDouble,False,665160,24013
266,5,eliteDouble,True,2696243,34939
266,5,eliteDouble,False,550821,24879
266,5,dragon1,True,4239492,62190
266,5,dragon1,False,1735082,51933
266,5,baron1,True,3166327,38403
266,5,baron1,False,639056,36455
266,5,blood1,True,3578279,57976
266,5,blood1,False,2413299,56346
266,5,tower1,True,4605648,63994
266,5,tower1,False,1387696,50425
266,5,inhibitor1,True,4713368,51676
266,5,inhibitor1,False,385411,46157
266,5,dragonSoul,True,1310171,14585
266,5,dragonSoul,False,91583,10968
266,5,airSoul,True,267807,2941
266,5,airSoul,False,16394,2309
266,5,waterSoul,True,250399,2849
266,5,waterSoul,False,19202,2160
266,5,fireSoul,True,258399,2866
266,5,fireSoul,False,18096,2124
266,5,earthSoul,True,269099,2987
266,5,earthSoul,False,19509,2192
266,5,hextechSoul,True,264398,2942
266,5,hextechSoul,False,18403,2183
266,3,blue,True,80795,1938
266,3,blue,False,80809,1914
266,3,rift1,True,95898,1819
266,3,rift1,False,64697,2003
266,3,rift2,True,81705,1386
266,3,rift2,False,41198,1474
266,3,riftDouble,True,53196,858
266,3,riftDouble,False,22899,932
266,3,eliteDouble,True,63801,886
266,3,eliteDouble,False,20404,1118
266,3,dragon1,True,108003,1759
266,3,dragon1,False,52191,2058
266,3,baron1,True,76802,982
266,3,baron1,False,20894,1301
266,3,blood1,True,85808,1623
266,3,blood1,False,75000,2215
266,3,tower1,True,113408,1764
266,3,tower1,False,47902,2080
266,3,inhibitor1,True,127294,1439
266,3,inhibitor1,False,12509,1901
266,3,dragonSoul,True,39602,441
266,3,dragonSoul,False,2401,490
266,3,airSoul,True,8500,97
266,3,airSoul,False,100,108
266,3,waterSoul,True,6400,73
266,3,waterSoul,False,700,102
266,3,fireSoul,True,8600,97
266,3,fireSoul,False,400,95
266,3,earthSoul,True,8100,87
266,3,earthSoul,False,700,93
266,3,hextechSoul,True,8000,87
266,3,hextechSoul,False,500,92
266,2,blue,True,289916,6592
266,2,blue,False,266399,6477
266,2,rift1,True,352721,6453
266,2,rift1,False,199126,6501
266,2,rift2,True,303421,4953
266,2,rift2,False,129916,5247
266,2,riftDouble,True,207689,3104
266,2,riftDouble,False,67008,3220
266,2,eliteDouble,True,234302,3282
266,2,eliteDouble,False,57596,3478
266,2,dragon1,True,378189,6300
266,2,dragon1,False,174682,6680
266,2,baron1,True,297107,3768
266,2,baron1,False,66190,4546
266,2,blood1,True,317788,6021
266,2,blood1,False,237006,7012
