key,role,ban_rate,pick_rate,wins,matches
266,4,25.29,12.06,1351274,2730949
266,1,25.29,0.12,12381,28126
266,5,25.29,0.52,62048,118457
266,3,25.29,0.02,1674,3972
266,2,25.29,0.06,5685,13341
103,4,3.12,0.06,6721,14045
103,1,3.12,0.0,235,727
103,5,3.12,6.26,689100,1417027
103,3,3.12,0.04,3420,8224
103,2,3.12,0.17,17924,38546
84,4,16.58,2.51,267499,567577
84,1,16.58,0.01,331,1351
84,5,16.58,9.0,995882,2038235
84,3,16.58,0.02,1563,4182
84,2,16.58,0.02,1898,5139
166,4,3.66,0.64,71747,145266
166,1,3.66,0.02,1639,4419
166,5,3.66,2.17,246103,491224
166,3,3.66,0.2,20677,44192
166,2,3.66,0.03,2736,6564
12,4,0.64,0.05,4975,10944
12,1,0.64,0.01,825,2315
12,5,0.64,0.02,1405,3524
12,3,0.64,0.01,366,1415
12,2,0.64,2.78,309559,629568
32,4,12.03,0.1,10546,23571
32,1,12.03,4.99,600319,1129694
32,5,12.03,0.02,1579,3856
32,3,12.03,0.02,1203,3800
32,2,12.03,6.29,745596,1423980
34,4,1.93,0.1,10959,22117
34,1,1.93,0.01,237,1162
34,5,1.93,2.18,255350,494194
34,3,1.93,0.04,4499,9965
34,2,1.93,0.41,44439,93104
1,4,0.67,0.06,6022,13096
1,1,0.67,0.0,220,796
1,5,0.67,1.71,195549,386996
1,3,0.67,0.03,3344,7771
1,2,0.67,0.44,35411,99498
523,4,0.7,0.04,3738,8206
523,1,0.7,0.0,96,353
523,5,0.7,0.05,4695,10540
523,3,0.7,3.97,409217,900169
523,2,0.7,0.01,762,3065
22,4,4.4,0.25,26595,57304
22,1,4.4,0.01,765,2560
22,5,4.4,0.19,19605,42343
22,3,4.4,9.3,1061751,2106648
22,2,4.4,5.03,566094,1140399
136,4,0.16,0.02,2148,4531
136,1,0.16,0.0,126,465
136,5,0.16,0.37,41494,83742
136,3,0.16,0.0,380,992
136,2,0.16,0.02,1783,4121
268,4,0.75,0.13,13564,29576
268,1,0.75,0.0,71,371
268,5,0.75,2.92,296045,662442
268,3,0.75,0.02,1908,4942
268,2,0.75,0.08,7614,18352
432,4,0.3,0.02,1741,4340
432,1,0.3,0.01,459,1660
432,5,0.3,0.01,1213,3312
432,3,0.3,0.01,585,1957
432,2,0.3,1.99,224168,451679
200,4,20.46,0.13,14324,30393
200,1,20.46,6.48,769800,1467684
200,5,20.46,0.05,5622,11056
200,3,20.46,0.01,705,1567
200,2,20.46,0.02,1967,4398
53,4,21.74,0.1,8752,22587
53,1,21.74,0.87,89748,197987
53,5,21.74,0.05,4965,12430
53,3,21.74,0.02,1574,5551
53,2,21.74,8.63,1008734,1955668
63,4,7.66,0.12,12779,26170
63,1,7.66,0.04,3676,8907
63,5,7.66,1.36,160008,309134
63,3,7.66,0.34,38906,78124
