key,role,path,rune_id,wins,matches
266,4,1,8005,1716,4056
266,4,1,8008,2795,6499
266,4,1,8021,1044,2245
266,4,1,8010,1289176,2583520
266,4,1,9101,2373,5238
266,4,2,9101,69,184
266,4,1,9111,1292949,2591080
266,4,2,9111,5655,11855
266,4,1,8009,0,0
266,4,2,8009,0,0
266,4,1,9104,202371,406368
266,4,2,9104,902,1906
266,4,1,9105,1043165,2082165
266,4,2,9105,2409,4818
266,4,1,9103,50875,107785
266,4,2,9103,594,1379
266,4,1,8014,66357,139113
266,4,2,8014,2435,5316
266,4,1,8017,6737,14741
266,4,2,8017,181,408
266,4,1,8299,1223675,2442466
266,4,2,8299,2311,4586
266,4,1,8112,4009,8548
266,4,1,8124,39,101
266,4,1,8128,1385,3017
266,4,1,9923,475,1133
266,4,1,8126,818,1846
266,4,2,8126,2705,6011
266,4,1,8139,3005,6604
266,4,2,8139,25906,55592
266,4,1,8143,2088,4349
266,4,2,8143,9464,19840
266,4,1,8136,220,554
266,4,2,8136,268,617
266,4,1,8120,240,545
266,4,2,8120,346,766
266,4,1,8138,5452,11700
266,4,2,8138,9048,19252
266,4,1,8135,2644,5722
266,4,2,8135,13578,28053
266,4,1,8134,291,639
266,4,2,8134,1773,3796
266,4,1,8105,572,1247
266,4,2,8105,2597,5930
266,4,1,8106,2403,5191
266,4,2,8106,13311,29191
266,4,1,8214,176,378
266,4,1,8229,15291,30220
266,4,1,8230,273,620
266,4,1,8224,5268,10452
266,4,2,8224,1680,3478
266,4,1,8226,0,0
266,4,2,8226,0,0
266,4,1,8275,10487,20766
266,4,2,8275,1099,2295
266,4,1,8210,14165,27938
266,4,2,8210,6122,12099
266,4,1,8234,615,1257
266,4,2,8234,764,1643
266,4,1,8233,969,2023
266,4,2,8233,1127,2476
266,4,1,8237,14229,28009
266,4,2,8237,3457,6887
266,4,1,8232,113,262
266,4,2,8232,179,438
266,4,1,8236,1409,2947
266,4,2,8236,3662,7536
266,4,1,8437,4538,9554
266,4,1,8439,223,557
266,4,1,8465,35,85
266,4,1,8446,3978,8322
266,4,2,8446,24430,50896
266,4,1,8463,370,876
266,4,2,8463,1355,3024
266,4,1,8401,445,998
266,4,2,8401,1210,2597
266,4,1,8429,641,1451
266,4,2,8429,27259,53659
266,4,1,8444,2108,4356
266,4,2,8444,397977,780348
266,4,1,8473,2042,4391
266,4,2,8473,831029,1675462
266,4,1,8451,1715,3837
266,4,2,8451,48278,97532
266,4,1,8453,2087,4268
266,4,2,8453,971791,1943582
266,4,1,8242,994,2093
266,4,2,8242,230381,455298
266,4,1,8351,1552,2945
266,4,1,8360,25,55
266,4,1,8369,2755,5339
266,4,1,8306,61,144
266,4,2,8306,36,78
266,4,1,8304,3795,7214
266,4,2,8304,2580,5549
266,4,1,8313,480,981
266,4,2,8313,220,429
266,4,1,8321,1860,3611
266,4,2,8321,906,1899
266,4,1,8316,1750,3277
266,4,2,8316,124,265
266,4,1,8345,723,1451
266,4,2,8345,1502,3500
266,4,1,8347,2440,4748
266,4,2,8347,2337,4994
266,4,1,8410,1821,3416
266,4,2,8410,617,1332
266,4,1,8352,71,175
266,4,2,8352,394,948
266,4,1,5008,1098387,2192390
266,4,1,5005,208899,424591
266,4,1,5007,20317,41891
266,4,1,5008f,1299639,2604487
266,4,1,5002f,18791,39476
266,4,1,5003f,7171,14909
266,4,1,5001,34678,70772
266,4,1,5002,997684,2007412
266,4,1,5003,294990,580688
266,1,1,8005,41,116
266,1,1,8008,89,279
266,1,1,8021,56,145
266,1,1,8010,8860,20275
266,1,1,9101,66,192
266,1,2,9101,1,8
266,1,1,9111,8971,20623
266,1,2,9111,2823,5980
266,1,1,8009,0,0
266,1,2,8009,0,0
266,1,1,9104,1877,4314
