key,role,spell,wins,matches
266,4,4,1345609,2702568
266,4,12,723336,1469597
266,4,14,619163,1226795
266,4,6,5313,11463
266,4,3,3690,7825
266,4,21,1197,2400
266,4,7,873,2199
266,4,11,657,1648
266,4,1,199,473
266,4,4_12,719773,1461765
266,4,4_14,615603,1218775
266,4,4_6,4061,8568
266,4,3_4,3470,7304
266,4,12_14,2802,6222
266,4,4_21,1138,2246
266,4,4_7,788,1961
266,4,4_11,610,1542
266,4,6_12,597,1354
266,4,6_14,569,1307
266,4,1_4,177,407
266,4,3_14,114,279
266,4,3_12,65,149
266,4,14_21,36,97
266,4,7_14,29,76
266,4,7_12,25,69
266,4,3_6,31,67
266,4,6_7,17,57
266,4,6_11,23,51
266,4,1_6,12,48
266,4,11_14,13,34
266,4,12_21,10,21
266,4,3_7,6,18
266,4,7_21,6,15
266,4,11_12,6,12
266,4,6_21,3,11
266,4,1_14,3,5
266,4,3_21,2,5
266,4,1_12,2,5
266,4,1_11,2,3
266,4,1_21,2,3
266,4,11_21,0,2
266,4,3_11,2,2
266,4,7_11,1,2
266,4,1_7,1,1
266,4,1_3,0,1
266,1,11,12642,28093
266,1,4,12390,27861
266,1,6,376,1002
266,1,14,216,746
266,1,12,154,717
266,1,3,11,44
266,1,7,4,14
266,1,1,2,12
266,1,21,1,3
266,1,4_11,12140,26722
266,1,6_11,372,987
266,1,4_12,139,680
266,1,4_14,108,442
266,1,11_14,105,296
266,1,3_11,11,40
266,1,11_12,10,26
266,1,7_11,3,11
266,1,1_11,2,9
266,1,4_6,3,9
266,1,12_14,3,7
266,1,3_4,0,4
266,1,6_12,1,3
266,1,4_7,0,2
266,1,1_6,0,2
266,1,11_21,1,2
266,1,4_21,0,1
266,1,6_14,0,1
266,1,1_4,0,1
266,1,7_12,1,1
266,5,4,65316,124010
266,5,14,50149,94265
266,5,12,13961,27374
266,5,3,608,1183
266,5,6,547,1137
266,5,1,145,281
266,5,21,128,242
266,5,7,31,87
266,5,11,22,57
266,5,4_14,50034,94013
266,5,4_12,13887,27224
266,5,3_4,587,1135
266,5,4_6,498,1009
266,5,1_4,141,268
266,5,4_21,123,230
266,5,12_14,62,125
266,5,6_14,33,82
266,5,4_7,28,77
266,5,4_11,20,54
266,5,3_14,13,35
266,5,6_12,6,18
266,5,3_6,5,8
266,5,1_6,1,8
266,5,6_21,3,7
266,5,14_21,2,4
266,5,3_12,3,4
266,5,1_14,2,3
266,5,6_7,0,3
266,5,7_12,1,3
266,5,6_11,1,2
266,5,7_14,1,2
266,5,1_3,0,1
266,5,11_14,1,1
266,5,7_21,0,1
266,5,1_7,1,1
266,3,4,1720,4015
266,3,14,871,1991
266,3,12,268,769
266,3,3,242,519
266,3,7,177,416
266,3,6,132,274
266,3,21,39,76
266,3,1,20,56
266,3,11,1,8
266,3,4_14,862,1972
266,3,4_12,263,758
266,3,3_4,241,515
266,3,4_7,175,405
266,3,4_6,122,246
266,3,4_21,39,69
266,3,1_4,18,45
266,3,6_14,4,9
266,3,1_6,2,8
266,3,4_11,0,5
266,3,6_12,3,5
266,3,6_7,1,4
266,3,12_14,2,3
266,3,14_21,0,3
266,3,7_21,0,3
266,3,7_14,1,2
266,3,3_7,0,1
266,3,1_11,0,1
266,3,12_21,0,1
266,3,3_6,0,1
266,3,1_12,0,1
266,3,11_14,1,1
266,3,7_12,0,1
266,3,6_11,0,1
266,3,3_14,1,1
266,3,1_3,0,1
266,2,4,5615,13047
266,2,14,4712,10740
266,2,3,639,1508
266,2,12,167,566
266,2,6,58,179
266,2,7,71,178
266,2,11,15,49
266,2,21,16,47
266,2,1,9,38
266,2,4_14,4689,10668
266,2,3_4,628,1470
266,2,4_12,158,538
266,2,4_7,67,164
266,2,4_6,45,121
266,2,4_11,8,35
266,2,4_21,13,32
266,2,3_14,8,24
266,2,1_4,7,19
266,2,6_14,6,18
266,2,1_6,2,15
266,2,12_14,3,14
266,2,3_6,2,12
266,2,14_21,3,10
266,2,6_12,2,6
266,2,11_12,3,4
266,2,7_14,1,3
266,2,6_11,1,3
266,2,11_14,2,3
266,2,6_7,0,3
266,2,7_12,1,3
266,2,1_11,0,2
266,2,3_7,1,2
266,2,7_21,0,2
266,2,6_21,0,1
266,2,11_21,0,1
266,2,1_12,0,1
266,2,1_21,0,1
266,2,7_11,1,1
103,4,4,6863,14393
103,4,14,4457,9327
103,4,12,2336,4962
103,4,6,108,240
103,4,3,92,194
103,4,21,56,136
103,4,7,36,103
103,4,1,28,55
103,4,11,3,10
103,4,4_14,4350,9071
103,4,4_12,2248,4746
103,4,12_14,73,172
103,4,3_4,82,170
103,4,4_6,70,150
103,4,4_21,53,125
103,4,4_7,32,82
103,4,6_14,22,47
103,4,1_4,24,44
103,4,6_12,12,30
103,4,3_14,8,15
103,4,7_14,2,11
103,4,14_21,1,6
103,4,1_6,2,6
103,4,4_11,3,5
103,4,3_12,0,5
103,4,3_6,2,4
103,4,7_12,1,4
103,4,6_7,0,3
103,4,11_14,0,3
103,4,12_21,1,2
103,4,11_12,0,2
103,4,7_21,1,2
103,4,1_14,1,2
103,4,1_7,0,1
103,4,1_12,1,1
103,4,1_21,0,1
103,1,11,209,661
103,1,4,198,612
103,1,14,21,80
103,1,6,5,23
103,1,12,3,12
103,1,7,1,11
103,1,21,2,8
103,1,3,1,6
103,1,1,0,3
103,1,4_11,187,566
103,1,11_14,12,44
103,1,4_14,9,36
103,1,6_11,5,22
103,1,7_11,1,10
103,1,11_21,2,8
103,1,4_12,2,6
103,1,11_12,1,6
103,1,3_11,1,4
103,1,3_4,0,2
103,1,1_11,0,1
103,1,1_6,0,1
103,1,1_4,0,1
103,1,4_7,0,1
103,5,4,753606,1547446
103,5,14,636600,1303973
103,5,12,97143,200418
103,5,3,8217,17595
103,5,21,6024,13085
103,5,7,3544,8308
103,5,1,3835,7838
103,5,6,1094,2417
103,5,11,433,1126
103,5,4_14,635112,1300926
103,5,4_12,96339,198638
103,5,3_4,8035,17151
103,5,4_21,5868,12746
103,5,1_4,3798,7736
103,5,4_7,3225,7524
103,5,4_6,781,1666
103,5,12_14,696,1493
103,5,4_11,408,1059
103,5,7_14,190,442
103,5,6_14,200,402
103,5,3_14,159,380
103,5,14_21,123,259
103,5,6_7,43,140
103,5,7_12,55,128
103,5,6_12,42,119
103,5,7_21,24,53
103,5,1_6,13,46
103,5,1_14,16,40
103,5,11_14,13,31
103,5,3_12,7,23
103,5,6_11,7,19
103,5,3_6,4,16
103,5,3_7,6,12
103,5,12_21,3,9
103,5,6_21,4,9
103,5,3_21,1,7
103,5,7_11,1,7
103,5,1_12,3,6
103,5,1_11,2,4
103,5,1_3,2,3
103,5,3_11,2,3
103,5,11_12,0,2
103,5,1_7,0,2
103,5,11_21,0,1
103,5,1_21,1,1
103,3,4,3714,8747
103,3,14,1877,4537
103,3,7,1151,2652
103,3,3,353,802
103,3,12,262,635
103,3,1,73,142
103,3,6,50,129
103,3,21,51,115
103,3,11,3,13
103,3,4_14,1845,4462
103,3,4_7,1128,2587
103,3,3_4,346,779
103,3,4_12,236,581
103,3,1_4,68,128
103,3,4_21,47,106
103,3,4_6,43,95
103,3,12_14,13,27
103,3,7_14,10,27
103,3,7_12,11,21
103,3,3_14,6,12
103,3,1_6,3,10
103,3,4_11,1,9
103,3,6_7,0,8
103,3,3_6,0,6
103,3,6_14,1,6
103,3,7_21,1,5
103,3,6_12,2,3
103,3,3_7,1,3
103,3,1_21,2,2
103,3,11_14,1,2
103,3,1_7,0,1
103,3,3_12,0,1
103,3,1_12,0,1
103,3,11_12,0,1
103,3,6_11,1,1
103,3,3_21,0,1
103,3,14_21,1,1
103,2,4,19007,40726
103,2,14,15723,33495
103,2,3,2356,5082
103,2,7,807,1889
103,2,12,225,525
103,2,21,117,270
103,2,6,96,209
103,2,1,59,145
103,2,11,21,61
103,2,4_14,15576,33169
103,2,3_4,2274,4882
103,2,4_7,743,1734
103,2,4_12,192,436
103,2,4_21,104,242
103,2,3_14,69,162
103,2,4_6,54,111
103,2,1_4,45,105
103,2,7_14,37,77
103,2,4_11,18,47
103,2,12_14,18,46
103,2,1_6,14,37
103,2,6_14,15,27
103,2,7_12,11,25
103,2,3_7,10,25
103,2,6_7,4,14
103,2,7_21,1,11
103,2,6_12,4,10
103,2,14_21,6,9
103,2,3_6,1,5
103,2,11_14,0,5
103,2,11_12,0,5
103,2,3_21,2,4
103,2,6_21,3,3
103,2,3_12,0,3
103,2,6_11,1,2
103,2,1_7,0,2
103,2,11_21,1,1
103,2,7_11,1,1
103,2,1_3,0,1
84,4,14,218423,459258
84,4,12,188400,396465
84,4,4,145216,312158
84,4,3,762,1652
84,4,6,502,1116
