key,role,physicalDamage,magicDamage,trueDamage,damage,damageTaken,heal,kills,deaths,assists,maxSpree,gold,minions,jungleCS
266,4,20081,61,651,20794,31303,12291,5.72,5.87,5.35,2.88,11157,156.95,12.54
266,1,17507,67,969,18545,34066,16181,6.65,6.36,6.9,3.21,11403,37.08,117.76
266,5,20401,76,918,21396,31059,12068,6.84,5.92,6.01,3.44,11282,149.07,13.17
266,3,18617,86,639,19344,31018,10809,6.82,7.3,6.75,3.01,10904,130.13,13.15
266,2,12958,84,773,13817,25917,6628,4.07,7.6,8.94,1.71,8928,54.37,10.0
103,4,1767,13404,4766,19938,20411,4297,5.09,5.72,6.69,2.45,10816,158.67,5.15
103,1,1359,9554,3740,14655,24544,6957,4.27,6.67,7.32,1.81,9617,50.38,74.56
103,5,1499,13888,4890,20279,20501,4478,5.85,5.66,7.72,2.87,10965,157.51,4.99
103,3,2127,11995,4453,18578,20078,4259,5.62,6.66,7.96,2.51,10573,137.54,5.35
103,2,1158,10810,4396,16366,18991,3278,4.09,7.07,10.07,1.73,9256,47.84,3.04
84,4,1532,19351,1152,22037,27027,3155,7.25,5.94,4.72,3.42,10977,148.9,4.33
84,1,1211,12552,781,14546,28498,5690,5.58,6.9,4.6,2.31,9404,50.35,62.63
84,5,1331,19953,1063,22349,27084,2722,8.57,6.01,5.52,4.0,11261,139.92,4.54
84,3,1246,16491,828,18566,26104,2393,7.55,7.16,5.48,3.13,10342,115.48,4.45
84,2,1005,13921,773,15701,23368,2054,5.81,7.26,6.07,2.35,9019,53.11,3.36
166,4,17273,2879,2493,22646,21113,2623,7.19,6.66,5.23,3.21,12456,169.98,12.17
166,1,13944,2002,2352,18300,25362,5851,7.53,7.56,6.28,3.1,11667,45.23,91.56
166,5,17659,2638,2273,22572,21263,2737,8.28,6.71,5.98,3.68,12577,161.95,10.02
166,3,16668,2023,1862,20555,21281,2867,8.02,7.21,6.75,3.38,12449,152.92,10.32
166,2,14452,1522,1462,17439,19484,1899,6.64,8.28,7.59,2.63,10714,55.43,6.74
12,4,2153,11490,629,14272,30669,9244,3.25,5.88,9.03,1.46,9139,115.78,3.23
12,1,1568,7380,923,9873,30709,10795,2.82,6.72,10.6,1.12,8534,23.89,69.52
12,5,1841,10991,1082,13916,28806,8396,4.0,6.48,9.45,1.74,8919,98.14,3.12
