key,role,other_key,other_role,other_base_win_rate,wins,matches
266,4,64,1,46.55,67296,146059
266,4,104,1,49.01,70105,144938
266,4,141,1,49.49,63297,132413
266,4,11,1,51.9,63274,126481
266,4,131,1,51.57,56944,111012
266,4,245,1,50.81,52698,103467
266,4,234,1,49.09,46610,98628
266,4,35,1,50.0,43647,89226
266,4,120,1,48.04,39219,83156
266,4,200,1,52.47,41419,81096
266,4,77,1,51.89,40395,79325
266,4,19,1,51.1,35995,71545
266,4,203,1,49.15,33347,68053
266,4,56,1,51.59,32471,64781
266,4,121,1,49.76,30928,62718
266,4,254,1,50.86,30283,60793
266,4,76,1,47.47,29049,60011
266,4,32,1,53.12,31383,59627
266,4,9,1,51.59,31326,59587
266,4,154,1,51.76,29457,56853
266,4,876,1,51.07,27923,55288
266,4,33,1,51.89,26204,50911
266,4,60,1,51.0,25431,48907
266,4,48,1,50.67,23098,46932
266,4,113,1,51.22,23445,46157
266,4,28,1,49.58,21348,42624
266,4,59,1,49.97,19952,40076
266,4,20,1,49.65,19782,39242
266,4,102,1,52.67,19140,36574
266,4,57,1,52.3,18947,36382
266,4,106,1,51.85,18339,36142
266,4,107,1,47.59,13798,29322
266,4,30,1,48.8,14402,29073
266,4,78,1,48.33,13715,28308
266,4,91,1,48.12,12925,27026
266,4,421,1,49.54,12055,24234
266,4,5,1,47.78,11291,24045
266,4,80,1,48.1,10377,21853
266,4,238,1,48.61,10127,21434
266,4,62,1,48.19,9751,20729
266,4,82,1,53.29,10800,20512
266,4,163,1,48.26,8421,16895
266,4,53,1,45.67,7358,16525
266,4,24,1,49.51,7707,16323
266,4,79,1,48.75,6652,13590
266,4,29,1,45.1,4502,10236
266,4,2,1,49.28,4191,8757
266,4,72,1,51.36,3864,7492
266,4,427,1,47.36,3249,6938
266,4,75,1,46.27,2921,6371
266,4,246,1,46.99,2728,5901
266,4,17,1,48.21,2730,5669
266,4,25,1,47.49,2209,4742
266,4,86,1,43.23,1735,4084
266,4,36,1,51.04,2053,4053
266,4,122,1,47.46,1809,3891
266,4,68,1,45.79,1660,3474
266,4,54,1,41.71,1407,3442
266,4,23,1,45.43,1541,3362
266,4,517,1,42.55,1340,3185
266,4,875,1,46.62,1140,2556
266,4,14,1,50.13,1183,2369
266,4,31,1,44.88,931,2112
266,4,887,1,44.84,865,1973
266,4,27,1,45.98,659,1481
266,4,44,1,51.08,619,1259
266,4,98,1,44.04,548,1238
266,4,777,1,39.14,360,899
266,4,92,1,41.38,351,886
266,4,133,1,43.85,332,801
266,4,6,1,44.72,333,783
266,4,111,1,41.52,293,651
266,4,157,1,36.77,222,638
266,4,164,1,43.04,294,619
266,4,83,1,47.31,264,573
266,4,63,1,40.98,209,517
266,4,67,1,38.67,190,468
266,4,18,1,39.63,164,429
266,4,145,1,41.0,160,402
266,4,516,1,41.99,170,392
266,4,81,1,34.15,136,385
266,4,105,1,37.41,131,364
266,4,4,1,34.89,114,320
266,4,166,1,37.68,120,296
266,4,517,5,48.79,90457,186254
266,4,157,5,49.37,64888,135797
266,4,84,5,48.85,64727,134070
266,4,777,5,49.87,58712,121501
266,4,112,5,51.67,62131,120921
266,4,238,5,50.68,56000,113144
266,4,55,5,49.8,54595,110625
266,4,711,5,51.82,54038,104387
266,4,134,5,49.54,43224,87628
266,4,103,5,48.58,41226,85925
266,4,7,5,47.51,34396,72408
266,4,45,5,51.11,32662,65626
266,4,8,5,50.64,31142,61770
266,4,99,5,50.78,30120,60665
266,4,39,5,50.54,29201,58837
266,4,105,5,51.12,27684,55162
266,4,268,5,44.66,21184,47421
266,4,90,5,51.49,22004,43311
266,4,245,5,50.73,20041,40255
266,4,38,5,49.74,19129,38463
266,4,142,5,48.46,18050,37075
266,4,91,5,49.04,16648,34129
266,4,4,5,47.51,15754,32587
266,4,50,5,53.11,17162,32476
266,4,101,5,50.85,16131,32097
266,4,127,5,48.59,15423,31545
266,4,34,5,51.67,16251,31372
266,4,69,5,50.55,15193,30109
266,4,3,5,50.45,14082,28082
266,4,875,5,54.48,14985,27993
266,4,61,5,48.41,12925,26907
266,4,110,5,48.33,12390,26183
266,4,131,5,51.79,12925,25064
266,4,166,5,50.18,12265,25043
266,4,13,5,45.65,11021,23999
266,4,74,5,53.49,11535,21936
266,4,1,5,50.44,10471,20821
266,4,518,5,51.23,10594,20481
266,4,80,5,52.52,10101,19853
266,4,115,5,50.34,9309,18976
266,4,246,5,47.68,8616,18015
266,4,63,5,51.58,8430,16590
266,4,163,5,49.18,7741,15914
266,4,42,5,46.87,6823,14780
266,4,68,5,51.39,7437,14693
266,4,161,5,51.59,7393,14635
266,4,41,5,48.64,6220,13312
266,4,54,5,50.06,6369,12583
266,4,18,5,52.31,6401,12575
266,4,58,5,50.6,5075,10021
266,4,25,5,51.07,4400,8746
266,4,236,5,46.45,3739,8202
266,4,147,5,50.67,4016,7975
266,4,27,5,55.09,4080,7512
266,4,82,5,54.43,3976,7356
266,4,81,5,44.91,3278,7354
266,4,79,5,49.93,3626,7195
266,4,145,5,47.57,3351,7065
266,4,86,5,53.16,3480,6618
266,4,26,5,53.13,3180,6064
266,4,126,5,50.07,2708,5564
266,4,10,5,50.93,2747,5429
266,4,17,5,52.25,2658,5224
266,4,136,5,49.64,2441,4938
266,4,31,5,49.81,2398,4879
266,4,29,5,51.9,2295,4619
266,4,75,5,51.88,2327,4458
266,4,30,5,50.58,2140,4310
266,4,234,5,50.74,2125,4253
