key,role,period,wins,matches
266,4,0-15,370522,751627
266,4,15-20,295730,207216
266,4,20-25,113474,578427
266,4,30-35,69078,142428
266,4,35-40,309178,635220
266,4,40+,152826,316190
266,1,0-15,871,3642
266,1,15-20,3254,6280
266,1,20-25,994,8036
266,1,30-35,2632,2393
266,1,35-40,3507,1752
266,1,40+,1732,7083
266,5,0-15,15441,28253
266,5,15-20,14647,35429
266,5,20-25,18430,28859
266,5,30-35,6480,10914
266,5,35-40,6915,13673
266,5,40+,848,1415
266,3,0-15,346,927
266,3,15-20,475,1091
266,3,20-25,119,955
266,3,30-35,447,320
266,3,35-40,96,241
266,3,40+,258,53
266,2,0-15,1622,3146
266,2,15-20,685,3761
266,2,20-25,438,1136
266,2,30-35,66,1470
266,2,35-40,1260,3025
266,2,40+,1355,193
103,4,0-15,1434,4169
103,4,15-20,2040,3023
103,4,20-25,434,991
103,4,30-35,1855,3907
103,4,35-40,1009,175
103,4,40+,537,2129
103,1,0-15,55,155
103,1,15-20,42,148
103,1,20-25,32,84
103,1,30-35,7,155
103,1,35-40,44,63
103,1,40+,2,67
103,5,0-15,232306,469867
103,5,15-20,163139,109296
103,5,20-25,51654,430597
103,5,30-35,112993,332899
103,5,35-40,210693,231908
103,5,40+,57361,117933
103,3,0-15,662,681
103,3,15-20,1097,1749
103,3,20-25,220,2418
103,3,30-35,1048,2344
103,3,35-40,653,128
103,3,40+,33,1411
103,2,0-15,1292,2855
103,2,15-20,5448,8352
103,2,20-25,3949,11707
103,2,30-35,4929,10497
103,2,35-40,2779,5868
103,2,40+,1599,445
84,4,0-15,71268,162026
84,4,15-20,75558,82850
84,4,20-25,56326,150295
84,4,30-35,20643,118381
84,4,35-40,39463,41755
84,4,40+,2992,43651
84,1,0-15,105,290
84,1,15-20,56,335
84,1,20-25,41,42
84,1,30-35,5,153
84,1,35-40,74,146
84,1,40+,44,288
84,5,0-15,189721,387413
84,5,15-20,263614,127102
84,5,20-25,64416,545247
84,5,30-35,253850,515149
84,5,35-40,141413,152663
84,5,40+,74041,287572
84,3,0-15,183,865
84,3,15-20,11,405
84,3,20-25,408,1095
84,3,30-35,452,58
84,3,35-40,250,377
84,3,40+,298,649
84,2,0-15,103,140
84,2,15-20,524,1089
84,2,20-25,331,466
84,2,30-35,544,1287
84,2,35-40,338,1398
84,2,40+,190,738
166,4,0-15,22870,45445
166,4,15-20,5435,9760
166,4,20-25,19380,32251
166,4,30-35,10076,10646
166,4,35-40,16619,40200
166,4,40+,4810,20716
166,1,0-15,225,884
166,1,15-20,288,1145
166,1,20-25,393,528
166,1,30-35,137,1053
166,1,35-40,391,345
166,1,40+,17,304
166,5,0-15,68313,139232
166,5,15-20,57864,111154
166,5,20-25,78414,156730
166,5,30-35,2798,34195
166,5,35-40,19526,35422
166,5,40+,16879,5089
166,3,0-15,5955,8650
166,3,15-20,3775,12836
166,3,20-25,6063,12761
166,3,30-35,3961,7774
166,3,35-40,2314,2502
166,3,40+,1172,4575
166,2,0-15,548,1943
166,2,15-20,784,1367
166,2,20-25,688,1663
166,2,30-35,189,454
166,2,35-40,406,867
166,2,40+,210,444
12,4,0-15,1377,712
12,4,15-20,1473,2867
12,4,20-25,921,2276
12,4,30-35,759,3194
12,4,35-40,244,124
12,4,40+,41,1520
12,1,0-15,212,474
12,1,15-20,82,198
12,1,20-25,181,566
12,1,30-35,132,475
12,1,35-40,73,36
12,1,40+,36,280
12,5,0-15,209,986
12,5,15-20,399,303
12,5,20-25,417,65
12,5,30-35,285,437
12,5,35-40,91,807
12,5,40+,69,880
12,3,0-15,31,292
12,3,15-20,113,338
12,3,20-25,62,72
12,3,30-35,112,139
12,3,35-40,69,334
12,3,40+,20,202
12,2,0-15,95887,195082
12,2,15-20,69536,146731
12,2,20-25,22925,160060
12,2,30-35,81629,49586
12,2,35-40,39247,76883
12,2,40+,2984,32413
32,4,0-15,2739,6036
32,4,15-20,1635,4344
32,4,20-25,2635,1520
32,4,30-35,1403,5204
32,4,35-40,69,2753
32,4,40+,558,285
32,1,0-15,108672,316099
32,1,15-20,164747,208371
32,1,20-25,91423,171566
32,1,30-35,167876,306802
32,1,35-40,31545,61464
32,1,40+,4952,9928
32,5,0-15,279,834
32,5,15-20,453,534
32,5,20-25,394,924
32,5,30-35,258,1038
32,5,35-40,24,103
32,5,40+,92,385
32,3,0-15,167,838
32,3,15-20,337,760
32,3,20-25,10,260
32,3,30-35,283,710
32,3,35-40,179,451
32,3,40+,51,392
32,2,0-15,209439,399431
32,2,15-20,55305,106153
32,2,20-25,155997,332042
32,2,30-35,177514,302590
32,2,35-40,83597,158812
32,2,40+,7412,13768
34,4,0-15,3373,6843
34,4,15-20,3007,6146
34,4,20-25,2597,5166
34,4,30-35,920,1936
34,4,35-40,844,1825
34,4,40+,1691,3434
34,1,0-15,44,276
34,1,15-20,55,209
34,1,20-25,53,49
34,1,30-35,16,228
34,1,35-40,24,218
34,1,40+,35,132
34,5,0-15,67481,133610
34,5,15-20,55060,101628
34,5,20-25,18339,33659
34,5,30-35,76601,146201
34,5,35-40,34964,71121
34,5,40+,2602,4860
34,3,0-15,894,2758
34,3,15-20,1249,2082
34,3,20-25,409,931
34,3,30-35,316,1567
34,3,35-40,776,889
34,3,40+,1223,2687
34,2,0-15,6310,19311
34,2,15-20,12098,13378
34,2,20-25,3338,24092
34,2,30-35,3712,25342
34,2,35-40,9286,6913
34,2,40+,11368,7460
